Thu Mar 11 17:30:00 2021    profile.dat

         31637 function calls (30646 primitive calls) in 0.192 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.000    0.000    0.000    0.000 {method 'InsertNextCell' of 'vtkmodules.vtkCommonDataModel.vtkCellArray' objects}
       13    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/pickle.py:1429(load_reduce)
       13    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/sre_compile.py:423(_simple)
     13/3    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/sre_parse.py:417(_parse_sub)
       12    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/pickle.py:1264(load_short_binbytes)
       12    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/pickle.py:1287(load_tuple2)
       12    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.scalar}
       12    0.000    0.000    0.000    0.000 /home/lucas/atlas_work/code/hackaton_profile/vtk_robot/project_module/project_main.py:28(unnormalize)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       11    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       11    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       11    0.000    0.000    0.004    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/numeric.py:144(ones)
       11    0.000    0.000    0.004    0.000 <__array_function__ internals>:2(copyto)
       11    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/multiarray.py:1043(copyto)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       10    0.000    0.000    0.000    0.000 {method 'Reset' of 'vtkmodules.vtkCommonDataModel.vtkCellArray' objects}
       10    0.000    0.000    0.009    0.001 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/_methods.py:53(_any)
       10    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/pickle.py:1090(pop_mark)
       10    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/pickle.py:1567(load_mark)
       10    0.009    0.001    0.009    0.001 {method 'reduce' of 'numpy.ufunc' objects}
        9    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/pickle.py:1295(load_empty_list)
        9    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/pickle.py:1499(load_appends)
        9    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/posixpath.py:41(_get_sep)
        9    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/posixpath.py:75(join)
        8    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        8    0.001    0.000    0.016    0.002 /home/lucas/atlas_work/code/hackaton_profile/vtk_robot/project_module/robot_model.py:120(computeCircArc)
        8    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/function_base.py:23(linspace)
        8    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/function_base.py:18(_linspace_dispatcher)
        8    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(linspace)
        8    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/fromnumeric.py:2245(_any_dispatcher)
        8    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/fromnumeric.py:2249(any)
        8    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(any)
        8    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/numeric.py:1816(isscalar)
        8    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/fromnumeric.py:71(<dictcomp>)
        8    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/fromnumeric.py:70(_wrapreduction)
        8    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
        8    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
